
### ✅ 可用英式英語（8 個，經使用者實測確認）

| Voice ID | 性別 | 句/秒 (20句批次) | 記憶體 (MB) |
|----------|------|-------------------|-------------|
| **peter_yearsley** | 🚹 男 | **0.699** 🏆 最快 | 1002.6 |
| **vera** | 🚺 女 | 0.668 | 1082.5 |
| **fantine** | 🚺 女 | 0.645 | 935.4 |
| **charles** | 🚹 男 | 0.583 | 882.7 |
| **paul** | 🚹 男 | 0.588 | 982.3 |
| **stuart_bell** | 🚹 男 | 0.595 | 1040.3 |
| **caro_davy** | 🚺 女 | 0.560 | 838.0 |
| **anna** | 🚺 女 | 0.540 | 785.1 |

---

